"020040190001";0;3;"2019-01-06";0;"2560";3;0;4;2;1;0;511;0;0;0;300;2;3;01;4;1;1;3;3;0;0;05;1;01;00;;17;;"XX";;;;;;;0;;;;"-735088,439";"-1142721,645";"-735088,439";"-1142721,645";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"020040190002";0;3;"2019-01-11";5;"2135";3;0;4;2;1;2;204;0;0;0;1300;2;5;01;5;7;1;3;1;0;0;00;1;01;00;;3;13;"16";3;1;1;0;1;1;1200;2;1;1;"-734757,115";"-1114527,11";"-734757,115";"-1114527,11";"-734750,115";"-1114526,322";"";"";"";"dálnice";"D3";"2164783";"";"Souhlasnısesmìremúseku";"Pomalı";"562955";"";"GN_V0.1UIR-ADR_410";"2"
"020040190003";0;3;"2019-01-26";6;"1415";3;0;4;2;1;2;204;0;0;0;1200;2;8;01;1;1;1;3;3;0;0;00;1;01;00;;3;02;"14";3;1;0;0;1;1;1000;3;1;1;"-736713,7";"-1144097,324";"-736713,7";"-1144097,324";"-736716,091";"-1144092,655";"";"";"";"dálnice";"D3";"3513085";"";"Souhlasnısesmìremúseku";"Pomalı";"553271";"";"GN_V0.1UIR-ADR_410";"2"
"020040190004";0;3;"2019-01-26";6;"1730";3;0;4;2;1;2;204;0;0;0;1200;2;8;01;3;6;1;3;3;0;0;00;3;01;00;;3;07;"08";3;1;0;0;1;1;800;2;1;1;"-733197,59";"-1117410,449";"-733197,59";"-1117410,449";"-733201,553";"-1117413,636";"";"";"";"dálnice";"D3";"1671585";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040190005";0;3;"2019-01-26";6;"1905";3;0;4;2;1;2;204;0;0;0;2200;2;5;01;5;7;1;3;3;0;0;00;1;01;00;;3;26;"18";3;1;1;0;1;1;2000;3;1;1;"-733741,583";"-1140961,093";"-733741,583";"-1140961,093";"-733736,984";"-1140961,906";"";"";"";"dálnice";"D3";"2604682";"";"Souhlasnısesmìremúseku";"Pomalı";"599115";"";"GN_V0.1UIR-ADR_410";"2"
"020040190006";0;3;"2019-02-04";1;"1810";1;2;0;1;1;2;411;0;0;3;2800;2;3;01;1;6;1;3;1;0;0;00;3;02;00;;3;39;"07";3;0;1;0;1;1;300;3;1;1;"-734477,362";"-1116279,537";"-734477,362";"-1116279,537";"-734477,809";"-1116279,811";"";"";"";"dálnice";"D3";"1380263";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040190007";0;3;"2019-02-07";4;"0100";3;0;2;1;1;2;508;0;0;1;2630;2;1;01;1;6;1;3;3;0;0;00;1;01;00;;3;39;"05";1;0;1;1;1;1;1200;2;2;1;"-733086,331";"-1138310,307";"-733086,331";"-1138310,307";"-733081,577";"-1138313,198";"";"";"";"dálnice";"D3";"2604744";"";"Souhlasnısesmìremúseku";"Pomalı";"553131";"";"GN_V0.1UIR-ADR_410";"2"
"020040190008";0;3;"2019-02-15";5;"1355";1;4;0;1;1;2;503;0;0;1;2000;2;1;01;1;1;1;1;1;0;0;00;1;03;00;;3;13;"07";1;0;1;0;1;1;300;2;1;1;"-732257,576";"-1120015,88";"-732257,576";"-1120015,88";"-732263,056";"-1120018,584";"";"";"";"dálnice";"D3";"1671824";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040190009";0;3;"2019-02-19";2;"0700";3;0;3;2;1;2;202;0;0;0;3210;2;3;01;2;2;1;3;1;0;0;00;1;03;00;;4;47;"09";1;0;0;1;1;1;1200;3;1;1;"-732284,667";"-1119973,213";"-732284,667";"-1119973,213";"-732284,854";"-1119973,301";"";"";"";"dálnice";"D3";"1671824";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040190010";0;3;"2019-03-01";5;"1650";3;0;4;2;1;2;204;0;0;0;1000;2;3;01;4;3;1;3;3;0;0;00;1;01;00;;3;42;"10";1;1;1;0;1;1;800;2;1;1;"-731865,229";"-1132389,708";"-731865,229";"-1132389,708";"-731865,239";"-1132389,705";"";"";"";"dálnice";"D3";"3070086";"";"Souhlasnısesmìremúseku";"Pomalı";"552721";"";"GN_V0.1UIR-ADR_410";"2"
"020040190011";0;3;"2019-03-02";6;"0635";3;0;4;1;1;2;508;0;0;2;800;2;3;01;4;2;1;3;1;0;0;00;1;01;00;;3;32;"10";1;1;1;1;1;1;600;2;2;1;"-734000,459";"-1141649,896";"-734000,459";"-1141649,896";"-733994,883";"-1141653,287";"";"";"";"dálnice";"D3";"3101379";"";"Souhlasnısesmìremúseku";"Pomalı";"599115";"";"GN_V0.1UIR-ADR_410";"2"
"020040190012";0;3;"2019-03-17";0;"1743";3;0;4;2;1;2;209;0;0;0;1800;2;1;01;1;1;1;3;3;0;0;00;1;02;00;;3;39;"07";1;1;1;1;1;3;1000;2;1;1;"-737830,99";"-1145499,8";"-737830,99";"-1145499,8";"-737830,883";"-1145499,843";"";"";"";"silnice1.tøídy";"3";"1452032";"";"Souhlasnısesmìremúseku";"Pomalı";"553271";"";"GN_V0.1UIR-ADR_410";"2"
"020040190013";0;3;"2019-03-22";5;"1225";3;0;4;2;1;2;203;0;0;0;1300;2;1;01;1;1;1;3;3;0;0;00;1;01;00;;4;17;"18";3;1;1;0;1;3;1200;3;1;1;"-731415,617";"-1122608,6";"-731415,617";"-1122608,6";"-731425,926";"-1122608,73";"";"";"";"dálnice";"D3";"3101357";"";"Souhlasnısesmìremúseku";"Pomalı";"553069";"";"GN_V0.1UIR-ADR_410";"2"
"020040190014";0;3;"2019-03-20";3;"1660";3;0;5;2;1;0;201;0;0;0;400;2;1;01;1;1;1;3;1;0;0;00;1;02;00;;3;02;"13";2;0;1;0;1;3;100;2;1;1;"";"";"-732008,606";"-1125953,486";"-732007,69";"-1125953,525";"";"";"";"dálnice";"D3";"3513699";"";"Souhlasnısesmìremúseku";"Pomalı";"552828";"";"GN_V0.1UIR-ADR_410";"2"
"020040190015";0;3;"2019-04-16";2;"1005";3;0;3;2;1;2;205;0;0;0;1650;2;1;01;1;1;1;3;1;0;0;00;3;01;00;;3;99;"17";9;0;0;1;1;1;1500;3;1;1;"-732254,047";"-1120033,294";"-732254,047";"-1120033,294";"-732255,347";"-1120033,94";"";"";"";"dálnice";"D3";"3512117";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
