"070041181001";0;1;"2018-01-06";6;"2230";5;0;0;2;4;0;100;0;0;0;750;2;1;01;1;4;1;3;1;0;0;00;1;01;00;;3;39;"16";3;0;1;0;1;1;700;2;1;5;"";"";"-477407,682";"-1104688,742";"-477407,42";"-1104690,086";"";"";"";"dálnice";"D1";"3149815";"";"Souhlasnýsesmìremúseku";"Pomalý";"554821";"";"GN_V0.1UIR-ADR_410";"2"
"070041181002";6;;"2018-01-06";6;"0630";3;0;2;2;1;0;504;0;0;0;100;3;3;01;4;4;1;0;8;0;0;09;1;01;00;;3;25;"";9;0;1;0;1;5;0;9;;;"-484477,256";"-1106953,237";"-484508,95";"-1106937,122";"-484512,812";"-1106935,313";"";"";"";"místníkomunikace";"";"1775053";"";"Souhlasnýsesmìremúseku";"Pomalý";"556858";"";"GN_V0.1UIR-ADR_410";"2"
"070041181003";0;1;"2018-01-10";3;"2560";3;0;4;2;1;0;508;0;0;0;110;3;3;01;3;3;1;6;3;0;0;00;1;01;00;;17;;"XX";;;;;;;0;;;;"-465583,87";"-1093410,174";"-465583,87";"-1093410,174";"-465584,411";"-1093405,761";"";"";"";"dálnice";"D1";"2734480";"";"Souhlasnýsesmìremúseku";"Pomalý";"599051";"";"GN_V0.1UIR-ADR_410";"2"
"070041181004";1;56;"2018-01-17";3;"1640";3;0;4;2;1;2;204;0;0;0;500;2;3;01;6;2;1;1;1;0;0;00;1;01;00;;3;07;"03";1;1;0;0;1;3;200;2;1;1;"-472598,116";"-1099247,061";"-472598,116";"-1099247,061";"-472603,518";"-1099252,794";"MORAVSKÁOSTRAVAAPØÍVOZ-MORAVSKÁOSTRAVA";"";"";"silnice1.tøídy";"56";"1626216";"";"Souhlasnýsesmìremúseku";"Pomalý";"554821";"";"GN_V0.1UIR-ADR_410";"1"
"070041181005";0;1;"2018-01-23";2;"0905";3;0;2;2;1;2;204;0;0;0;1100;2;3;01;1;1;1;3;4;0;0;00;3;01;00;;3;39;"17";3;0;0;0;1;1;1000;2;1;1;"";"";"-475089,376";"-1101237,204";"-475087,45";"-1101232,904";"";"";"";"dálnice";"D1";"1711243";"";"Souhlasnýsesmìremúseku";"Pomalý";"554821";"";"GN_V0.1UIR-ADR_410";"2"
"070041181006";0;1;"2018-01-27";6;"1946";1;3;0;1;1;0;511;0;0;1;30;3;3;01;3;7;1;3;2;0;0;00;1;02;00;;17;;"XX";;;;;;;0;;;;"-475103,851";"-1101228,474";"-481497,019";"-1104696,228";"-481496,152";"-1104700,99";"";"";"";"dálnice";"D1";"1336824";"";"Souhlasnýsesmìremúseku";"Pomalý";"599549";"";"GN_V0.1UIR-ADR_410";"2"
"070041181007";0;1;"2018-01-28";0;"2560";3;0;4;2;1;0;511;0;0;0;500;2;1;01;1;4;1;3;3;0;0;01;1;01;00;;17;;"XX";;;;;;;0;;;;"-469825,993";"-1097619,13";"-469825,993";"-1097619,13";"-469824,781";"-1097622,119";"";"";"";"dálnice";"D1";"1284116";"";"Souhlasnýsesmìremúseku";"Pomalý";"554821";"";"GN_V0.1UIR-ADR_410";"2"
"070041181008";0;1;"2018-02-02";5;"1760";5;0;0;2;4;0;100;0;0;0;80;2;1;01;1;4;1;1;1;0;0;00;2;01;00;;3;39;"99";1;0;1;0;1;3;10;3;1;5;"";"";"-475187,953";"-1101097,07";"-475186,366";"-1101097,22";"";"";"";"dálnice";"D1";"1284268";"";"Souhlasnýsesmìremúseku";"Pomalý";"554821";"";"GN_V0.1UIR-ADR_410";"2"
"070041181009";0;1;"2018-02-07";3;"1543";3;0;4;2;1;2;204;0;0;0;30;2;5;01;5;3;1;3;1;0;0;05;1;01;00;;5;47;"01";9;1;1;0;1;1;20;2;1;1;"-480294,129";"-1104647,322";"-480294,129";"-1104647,322";"-480294,361";"-1104651,653";"";"";"";"dálnice";"D1";"1336797";"";"Souhlasnýsesmìremúseku";"Pomalý";"554821";"";"GN_V0.1UIR-ADR_410";"2"
"070041181010";0;1;"2018-02-07";3;"1519";3;0;4;2;1;2;204;0;0;0;1560;2;5;01;5;3;1;3;1;0;0;00;1;01;00;;3;25;"16";9;1;1;0;1;3;1500;2;1;1;"-462227,266";"-1092088,379";"-462227,266";"-1092088,379";"-462224,521";"-1092093,044";"";"";"";"dálnice";"D1";"3070479";"";"Souhlasnýsesmìremúseku";"Pomalý";"598968";"";"GN_V0.1UIR-ADR_410";"2"
